asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
1147,BSC 6ft,,Labconco,3460009,080891957B,VWR,97000-866,11573,No,BSC 6ft,Final filtration steps performed in BSC,n/a,GMP,No,No,Yes,n/a,(1) HEPA supply velocity: overall avg acceptance range 50-60 fpm (2) Inflow velocity: 100-110 fpm,CAL-6,Yes,n/a,Perform HEPA filter leak test as well as check gaskets and seals.,PM-6,,,No,,,n/a,CAL and PM together constiture the 'Certification' process.
1150,12-Channel Pipette 30-300 ul,BD,Biohit,725240,9027756,VWR,47745-564,13142,Yes,12-Channel Pipette 30-300 ul,Develop; qualify; and validate assays Sample Analysis,30µl to 300µl,Other,No,No,Yes,n/a,30 ul = +/- 2%; 300 ul = +/- 0.6%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1151,12- Channel Pipette 5-100 ul,BD,Biohit,725240,9027756,,,13143,Yes,12- Channel Pipette 5-100 ul,Develop; qualify; and validate assays; Sample Analysis,5µl to 100µl,Other,No,No,Yes,n/a,10 ul = +/- 3%; 100 ul = +/- 0.7%,CAL-13,Yes,n/a,,PM-13,,,No,,,n/a,Level 4
1152,Pipette 100-1000 ul,BD,Biohit,725240,9027756,VWR,47745-550,13144,Yes,Pipette 100-1000 ul,Develop; qualify; and validate assays; Sample Analysis,100µl to 1000µl,Other,No,No,Yes,n/a,100 ul = +/- 1.5%; 500 ul = +/- 0.7%; 1000 ul = +/- 0.6%,CAL-14,Yes,n/a,,PM-14,,,No,,,n/a,Level 4
1153,Pipette 20-200 ul,BD,Biohit,725240,9027756,VWR,47745-548,13145,Yes,Pipette 20-200 ul,Develop; qualify; and validate assays; Sample Analysis,20µl to 200µl,Other,No,No,Yes,n/a,20 ul = +/- 2%; 100 ul = +/- 0.8%; 200 ul = +/- 0.6%,CAL-15,Yes,n/a,,PM-15,,,No,,,n/a,Level 4
1154,Pipette 2-20 ul,BD,Biohit,725240,9027756,VWR,47745-545,13146,Yes,Pipette 2-20 ul,Develop; qualify; and validate assays; Sample Analysis,2µl to 20µl,Other,No,No,Yes,n/a,2 ul = +/- 3%; 10 ul = +/- 1.2%; 20 ul = +/- 0.9%,CAL-16,Yes,n/a,,PM-16,,,No,,,n/a,Level 4
1155,Pipette 2-20 ul,BD,Biohit,725030,8535247,VWR,725030,13142,Yes,Pipette 2-20 ul,Bioanalysis development and GLP assays,2µl to 20µl,Other,No,No,Yes,n/a,2 ul = +/- 3%; 10 ul = +/- 1.2%; 20 ul = +/- 0.9%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1156,Pipette 20-200 ul,BD,Biohit,725060,9027531,VWR,MP725060RC,13142,Yes,Pipette 20-200 ul,Bioanalytical development and GLP passays,20µl to 200µl,Other,No,No,Yes,n/a,20 ul = +/- 2%; 100 ul = +/- 0.8%; 200 ul = +/- 0.6%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1157,Pipette 100-1000 ul,BD,Biohit,725060,9027531,VWR,MP725070RC,13143,Yes,Pipette 100-1000 ul,Bioanalytical development and GLP passays,100µl to 1000µl,Other,No,No,Yes,n/a,100 ul = +/- 1.5%; 500 ul = +/- 0.7%; 1000 ul = +/- 0.6%,CAL-13,Yes,n/a,,PM-13,,,No,,,n/a,Level 4
1158,Pipette 5-100 ul,BD,Biohit,725060,9027531,VWR,MP725230RC,13142,Yes,Pipette 5-100 ul,Bioanalytical development and GLP passays,5µl to 100µl,Other,No,No,Yes,n/a,10 ul = +/- 3%; 100 ul = +/- 0.7%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1159,Pipette 30-300 ul,BD,Biohit,725060,9027531,VWR,MP725240RC,13142,Yes,Pipette 30-300 ul,Bioanalytical development and GLP passays,30µl to 300µl,Other,No,No,Yes,n/a,30 ul = +/- 2%; 300 ul = +/- 0.6%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1161,Pipette 200 ul,QC,Rainin,L-200,E0908655A,Rainin,L-200,13327,Yes,Pipette 200 ul,To measure liquids,20µL to 200µL,GMP,No,No,Yes,n/a,20 ul = +/- 2.5%; 100 & 200 ul = +/- 0.8%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
1162,Pipette 20 ul,QC,Rainin,L-20,E0908749A,Rainin,L-20,13327,Yes,Pipette 20 ul,To measure liquids,2µL to 20µL,GMP,No,No,Yes,n/a,2 ul = +/- 7.5%; 10 ul = +/- 1.5%; 20 ul = +/- 1%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
1163,Pipette 100 ul,QC,Rainin,L-100,K0853017A,Rainin,L-100,13327,Yes,Pipette 100 ul,To measure liquids for test methods,10µL to 100µL,GMP,No,No,Yes,n/a,10 ul = +/- 3.5%; 50 & 100 ul = +/- 0.8%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
1164,Pipette 100 ul,QC,Rainin,L-101,K0853130A,Rainin,L-100,13327,Yes,Pipette 100 ul,To measure liquids for test methods,10µL to 100µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1165,Pipette 100 ul,QC,Rainin,L-102,K0853072A,Rainin,L-100,13327,Yes,Pipette 100 ul,To measure liquids for test methods,10µL to 100µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,n/a,Level 4
1166,Pipette 1000 ul,QC,Rainin,L-103,D0995073A,Rainin,L-1000,13327,Yes,Pipette 1000 ul,To measure liquids for test methods,100µL to 1000µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1167,Pipette 100 ul,QC,Rainin,L-104,K0853116A,Rainin,L-100,13327,Yes,Pipette 100 ul,To measure liquids for test methods,100µL to 1000µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1168,Pipette 10 ul,QC,Rainin,L-105,D0993997A,Rainin,L-10,13327,Yes,Pipette 10 ul,To measure liquids for test methods,1µL to 10µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1169,Pipette 100 ul,QC,Rainin,L-106,D0993075A,Rainin,L-100,13327,Yes,Pipette 100 ul,To measure liquids for test methods,10µL to 100µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1170,Pipette 2-20 ul,BD,Biohit,725060,9027531,VWR,MP725030RC,13143,Yes,Pipette 2-20 ul,Bioanalytical development and GLP assays,2µl to 20µl,Other,No,No,Yes,n/a,2 ul = +/- 3%; 10 ul = +/- 1.2%; 20 ul = +/- 0.9%,CAL-13,Yes,n/a,,PM-13,,,No,,,n/a,Level 4
1171,Pipette 20-200 ul,BD,Biohit,725060,9027532,VWR,MP725060RC,13142,Yes,Pipette 20-200 ul,Development; validation of bioanalytical assays (such as PK and ADA) and sample testing,20µl to 200µl,Other,No,No,Yes,n/a,20 ul = +/- 2%; 100 ul = +/- 0.8%; 200 ul = +/- 0.6%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1172,Pipette 100-1000 ul,BD,Biohit,725070,9027369,VWR,MP725070RC,13142,Yes,Pipette 100-1000 ul,Bioanalytical development and GLP assays,100µL to 1000µL,Other,No,No,Yes,n/a,100 ul = +/- 1.5%; 500 ul = +/- 0.7%; 1000 ul = +/- 0.6%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1173,HPLC,QC,Agilent Technologies,1100 Series,DE14901543,Agilent,N/A,N/A,No,HPLC,To asses the % Purity (monomer) of in-process; Drug-Substance; Drug-Product and stability samples,n/a,GMP,No,Yes,No,n/a,N/A,FALSE,Yes,n/a,Agilent's contractual maintenance,PM-12,,,Yes,,,10012-IOQ-P,Unit is requalified annually. Qual & PM documentation is filed in QA vault. See 10015-IOQ package.
1174,HPLC,QC,Agilent Technologies,1100 Series,DE40502661,Agilent,N/A,N/A,No,HPLC,To asses the % Purity (monomer) of in-process; Drug-Substance; Drug-Product and stability samples,n/a,GMP,No,Yes,No,n/a,N/A,FALSE,Yes,n/a,Agilent's contractual maintenance,PM-12,,,Yes,,,10013-IOQ-P,Unit is requalified annually. Qual & PM documentation is filed in QA vault. See 10016-IOQ package.
1175,Pipette 100-1000 uL,PD,VWR,Signature,442285840,VWR,N/A,N/A,Yes,Pipette 100-1000 uL,To measure small amounts of liquid for development processes,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1176,20-200 ul Pipette,,VWR,,842750534,,,,Yes,20-200 ul Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1177,Hot Lips II Tube Sealer,,GE Healthcare,HTLS-II,1446529,GE Healthcare,28-9486-49,13526,No,Hot Lips II Tube Sealer,The tube sealer will be used by MFG group and the QC group to seal C-Flex tubing during the MFG process and during QC sampling of the buffers,C-Flex (374); 1/8ID x 1/4OD; 1/4ID x 7/16OD; 3/8ID x 5/8OD,GMP,No,No,Yes,n/a,Jaw mechanism requires an adjustment check.  Temp.: 0.0; 75.0; 150.0; 225.0 +/- 2.0ºC,CAL-6,Yes,n/a,Cleaning and inspection of retention pads and PTFE jaw covers.  Inspect the pads and jaw covers for any wear; tear or crack.  Replace as needed.,PM-6,,,Yes,,,09064-IOQ,Upon review of recent service and discussion with technician; it was observed that PM checks not documented on the sheets.
1178,Bio-Rad Power Supply,,Biorad,powerpac basic,041BR70278,Biorad,164-5050,,No,Bio-Rad Power Supply,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
1179,Standard Analog Shaker 3600,,VWR,3600 STD,980301,VWR,89032-092,,Yes,Standard Analog Shaker 3600,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
1183,250L Hyclone Single Use Bioreactor,,VWR,N/A,442265840,Hyclone,SV50172.03,N/A,No,250L Hyclone Single Use Bioreactor,Used in the mixing and chilling of in-process material,n/a,Other,Yes,Yes,Yes,n/a,,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Cal/PM TBD
1184,UV Cell 8MM Peek,,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,n/a,GMP,No,No,No,UV cells do not require calibration,N/A,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,
1185,UV Cell 8MM Peek,,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,n/a,GMP,No,No,No,UV cells do not require calibration,N/A,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,
1186,UV Cell 8MM Peek,,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,n/a,GMP,No,No,No,UV cells do not require calibration,N/A,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,
1187,UV Cell 8MM Peek,,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,n/a,GMP,No,No,No,UV cells do not require calibration,N/A,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,
1188,UV Cell 8MM Peek,,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,n/a,GMP,No,No,No,Calibration is not applicable,N/A,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,
1189,UV Cell 8MM Peek,,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,n/a,GMP,No,No,No,Calibration is not applicable,N/A,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,
1190,UV Cell 8MM Peek,,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,n/a,GMP,No,No,No,Calibration is not applicable,N/A,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,
1191,O2 Sensor Simulator,,Mettler-Toledo; Inc.,52 200 891,N/A,Mettler-Toledo; Inc.,N/A,13681,No,O2 Sensor Simulator,It uses to perform DO calibration,n/a,GMP,No,No,No,No calibration required specified,N/A,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,No calibration requirements specified by manufacturer - Mettler Toledo
1192,O2 Sensor Simulator,PD,Mettler-Toledo; Inc.,53 200 891,N/A,Mettler-Toledo; Inc.,N/A,13681,No,O2 Sensor Simulator,It uses to perform DO calibration,n/a,GMP,No,No,No,No calibration required specified by manufacturer,N/A,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,No calibration requirements specified by manufacturer - Mettler Toledo
1193,Pipette 2-20 ul,BD,Biohit,M20,9027870,VWR,47745-545,13816,Yes,Pipette 2-20 ul,GLP pre-clinical; and clinical assay development and smaple testing,2µl to 20µl,Other,No,No,Yes,n/a,2 uL = +/- 3%; 10 uL = +/- 1.2%; 20 uL = +/- 0.9%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1194,Multi-Channel Pipette 5-100 ul,BD,Biohit,M21,9027871,VWR,47745-562,13817,Yes,Multi-Channel Pipette 5-100 ul,GLP pre-clinical; and clinical assay development and smaple testing,5µl to 100µl,Other,No,No,Yes,n/a,10 uL = +/- 3%; 100 uL = +/- 0.7%,CAL-13,Yes,n/a,,PM-13,,,No,,,n/a,Level 4
1195,Multi-Channel Pipette 30-300 ul,BD,Biohit,M300,9042807,VWR,47745-564,13816,Yes,Multi-Channel Pipette 30-300 ul,GLP pre-clinical; and clinical assay development and smaple testing,30µL to 300µL,Other,No,No,Yes,n/a,30 uL = +/- 2%; 300 uL = +/- 0.6%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1197,Palltronic Flow Star II Integrity Tester,,Pall Life Sciences,FFS02HAM,16390426,Chisholm,FFS02HAM,11808,No,Palltronic Flow Star II Integrity Tester,The Palltronic Flowstar will be used to integrity test (post-vse) filters that are used to manufacture Acceleron's products,n/a,GMP,No,No,Yes,n/a,Pressure: 50 to 6000 +/- 20 mBar for Pressure Transducer P0 and P1; Flow: Check at ~ 8 ml/min; 90 ml/min and 990 ml/min +/- 3% of reading,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,
1198,Dry Bath,,VWR,Dry block heater standard,090202-104,VWR,12621-104,,No,Dry Bath,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
1199,Power Supply,,Thermo Fisher Scientific,FB3000,1.59E+12,Thermo Fisher Scientific,FB3000Q,,No,Power Supply,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
1200,Stirrer Plate,PD,VWR,VWR 600 Series,90528003,VWR,12365-386,,Yes,Stirrer Plate,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,
1202,Pipette 50-300 ul,,Biohit,N/A,6090767,VWR,N/A,N/A,Yes,Pipette 50-300 ul,,n/a,Other,No,No,Yes,n/a,,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 2
1203,Pipette 20-200 ul,,VWR,N/A,442250439,VWR,N/A,N/A,Yes,Pipette 20-200 ul,,n/a,Other,No,No,Yes,n/a,,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 2
1204,Hach Turbidimeter,EN,Hach,2100P,30700031868,N/A,N/A,N/A,Yes,Hach Turbidimeter,Measure turbidity,n/a,Other,No,No,Yes,n/a,Per MFR Spec,CAL-12,No,n/a,,FALSE,,,No,,,n/a,
1205,VWR Pressure Meter,EN,VWR,N/A,80230667,N/A,N/A,N/A,Yes,VWR Pressure Meter,Measures pressure,n/a,GMP,No,No,Yes,n/a,+/-0.3 0-28psi,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,
1206,Pipette 20-200 ul,,Eppendorf,3111,2165218,VWR,53513-408,11985,Yes,Pipette 20-200 ul,Development-scale analysis of protein samples for assay development and process development,20µl to 200µl,Other,No,No,Yes,n/a,,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 2
1207,Pipette 20-200 ul,AD,Eppendorf,3111,4994238,VWR,53513-408,11985,Yes,Pipette 20-200 ul,Development-scale analysis of protein samples for assay development and process development,20µl to 200µl,Other,No,No,Yes,n/a,Level 4 calibration.,CAL-6,Yes,n/a,Level 4 PM,PM-6,Yes,Tier 3,No,N/A,N/A,n/a,Level 4
1208,BSC,PD,The Baker Company,SG603A-HE,96027,N/A,N/A,N/A,No,BSC,To maintain a sterile environment for the manipulation of process development protein samples,n/a,Other,No,No,Yes,n/a,,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,
1209,Chart Recorder,PD,Amersham BioScience,REC 111,REC111000245,N/A,N/A,N/A,No,Chart Recorder,Record the absorbance of column outflow during protein purification,n/a,Other,No,No,No,,,FALSE,No,,,FALSE,,,No,,,n/a,Stand alone
1210,Capillary Electrophoresis System,QC,Beckman Coulter,PA800 PLUS,A746030023,Beckman Coulter,N/A,13073,No,Capillary Electrophoresis System,To analyze and assess the quality of in-process; intermediate or final product; through protein seperation via capillary electrophoretic methods,n/a,GMP,Yes,No,Yes,n/a,Per MFR Spec,CAL-12,Yes,n/a,,PM-12,,,Yes,,,09062-IOQ,
1211,Centrifuge,QC,Beckman Coulter,J6-MC,NJF95H02,Altus Lab Equipment,360281,13160,No,Centrifuge,To spin down bacteria for DNA prep,100-6000rpm; -20°C to 40°C,GMP,Yes,No,Yes,n/a,1000 & 4000 RPM +/- 20 RPM; 4°C +/- 2°C; Time: 5 min +/- 0.1 min (6 seconds),CAL-6,Yes,n/a,,PM-6,,,No,,,09065-IOQ,
1212,Microwave Oven,QC,Sharp,R-230KK,120607,Amazon,R-230KK,N/A,No,Microwave Oven,To heat media for DNA prep,n/a,GMP,No,No,No,The  microwave oven does not require calibration,N/A,FALSE,No,Does not require PM,,FALSE,,,No,,,n/a,
1213,12-Channel Pipette 30-300 ul,BD,Biohit,725240,9042839,VWR,47745-564,14177,Yes,12-Channel Pipette 30-300 ul,Development/Sample Testing (GLP),See attached ,Other,No,No,Yes,n/a,30 uL = +/- 2%; 300 uL = +/- 0.6%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1214,12-Channel Pipette 30-300 ul,BD,Biohit,725240,9042839,VWR,47745-564,14177,Yes,12-Channel Pipette 30-300 ul,Development/Sample Testing (GLP),See attached ,Other,No,No,Yes,n/a,30 uL = +/- 2%; 300 uL = +/- 0.6%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1215,Electroporation Apparatus,QC,Biorad,Micro Pulser,411BR6675,Biorad,1652100,14288,Yes,Electroporation Apparatus,To deliver DNA to E.Coli cells in the ECL mode,1.8 KV,GMP,Yes,No,Yes,n/a,1.8kv +/- 0.03kv,FALSE,Yes,n/a,,FALSE,,,No,,,09067-IOQ,New unit; Mfr will not provide PM procedure for proprietery reasons but we will receive all PM check list once unit is sent for first PM
1216,Masterflex LDF Pump,,Lesser/Thermo,200-1931,G08003058,Spectrum Labs,200-1931,11107,No,Masterflex LDF Pump,Used to pump drug intermediates and media to and from single use Bioreactors,0 to 19 Lpm,,Yes,Yes,Yes,n/a,15 lpm +/- 10%; 30 lpm +/- 10% (per mfg spec),CAL-12,No,n/a,,FALSE,,,No,,,n/a,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
1217,Spectrum Pump,,Watson Marlow,323E/D,F101269,Watson Marlow,323E/D,N/A,Yes,Spectrum Pump,To pump media and other additions to cell cultures in disposable Bioreactors through tubing,0-400rpm,GMP,No,Yes,Yes,n/a,Pump rotation:100 +/- 5 rpm,CAL-6,No,n/a,,FALSE,,,No,,,n/a,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
1218,Incubating Orbital Shaker,QC,VWR,N/A,90821005,VWR,12620-946,14240,No,Incubating Orbital Shaker,To assist in preperation of DNA for reporter gene assay,35 to 38°C       225 rpm +/- 5 rpm,GMP,Yes,No,Yes,n/a,37°C +/- 1°C; 225 RPM +/- 3 RPM,CAL-6,No,No regularyly scheduled PM is required for this unit per the user manual,,FALSE,,,No,,,09066-IOQ,Previously Alerts service sht was used as PM sht. Upon review it was realized that there isn't any PM involved with this unit & hence NO PM has been marked.
1219,Nilfisk 6M80 HEPA Vacuum,EN,Nilfisk Advance,6M80,9056302-010-0431-00003,Nilfisk Advance,6M80,N/A,No,Nilfisk 6M80 HEPA Vacuum,The HEPA vaccum will be used to clean the 128 CMF on a routine basis,n/a,GMP,Yes,No,No,The HEPA vaccum does not require calibration,N/A,FALSE,Yes,n/a,,FALSE,,,No,,,n/a,
1220,Chart Recorder,,Partlow,MRC-5000,15097620002,N/A,N/A,N/A,No,Chart Recorder,Monitor temperature range of 2-8C cold room,3°C to 5°C,Other,No,No,Yes,n/a,4°C +/- 1°C,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Associated with 1225
1221,250L Single Use Bioreactor,,Hyclone,N/A,CC09025.02,Hyclone,SV50172.03,13136,No,250L Single Use Bioreactor,It is 250L bioreactor that will be used for scale ip transfer and production of toxicology material,n/a,Other,No,No,Yes,n/a,,CAL-12,Yes,n/a,,FALSE,,,No,,,n/a,
1222,Photostability Chamber,QC,Caron,6545-2,092007-6545-2-20,N/A,N/A,13160,No,Photostability Chamber,To preform photstability and humidity studies on final drug product,R Humidity: 40-70%; Temperature: 10°C to 35°C (lights on),GMP,Yes,Yes,Yes,n/a,60 +/- 2% RH; 25.0 +/- 1.0°C; UVA: +/- 5 W/m2; VIS: +/- 5kLUX,CAL-6,Yes,n/a,,PM-6,,,No,,,10011-IOQ,
1223,128 Sidney Street GMP Production Area,EN,N/A,N/A,N/A,N/A,N/A,N/A,No,128 Sidney Street GMP Production Area,To make pilot and GMP protein,Each subsystem and equipment has own range,GMP,Yes,Yes,Yes,n/a,Calibration based on individual subsystems,CAL-12,Yes,n/a,Cleaning; pest control; and architectual systems defined for facilities in SOPs.,FALSE,,,No,,,13015-PQ-R,Cal based on individual subsystems-see sop for Pm
1224,Sartorius Biowelder,,Sartorius Stedim,16370,RW1585,Sartorius Stedim,16370,12107,Yes,Sartorius Biowelder,Equipment used to sterily weld tubing for transferring liquids and media requiring sterility,n/a,GMP,Yes,No,Yes,n/a,(1) Depyrogenation Temp: >400°C for time >5 seconds (2) Ref. Temp. between 225°C & 255°C for time >10 seconds,CAL-6,Yes,n/a,Internal cleaning and inspection of bearings is done by service contractor.,PM-6,,,No,,,10005-PQ,Monthly cleaning to be performed per SOP.
1225,Cold Room Controller,,CES,N/A,N/A,N/A,N/A,N/A,No,Cold Room Controller,Control the temperature of the strucural biology cold box,3°C to 5°C,Other,No,No,Yes,n/a,4°C +/- 1°C,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Associated with chart 1220
1228,Light Microscope,QC,Leica,1349521X,201547,Leica,N/A,N/A,Yes,Light Microscope,Examine prepared slides of microbes,n/a,GMP,No,No,No,n/a,N/A,FALSE,Yes,Dur to infrequent use the PM has been changed to Annual,,PM-12,,,No,,,n/a,
1229,Orion 4 Star pH/Conductivity Meter,QC,Thermo Fisher Scientific,Orion 4 Star,B15123,VWR,10010-460,12038,No,Orion 4 Star pH/Conductivity Meter,pH and conductivity testing of incoming raw materials,pH--2.000 to 19.999; Conductivity - 0.000 to 3000mskm,GMP,Yes,Yes,Yes,n/a,(1)1.00µS+/-0.005µS (2)10.00µS+/-0.05µS (3)100.0µS+/-0.5µS (4)1000µS+/-5µS (5)10.00mSµS+/-0.05mS (6)100.0mS+/-0.5mS; pH at 4.00; 7.00; and 10.00 +/- 0.05,CAL-6,No,No PM required per user manual,,FALSE,,,No,,,10009-IOQ-R,Previously Alerts service sht was used as PM sht. Upon review it was realized that there isn't any PM involved with this unit & hence NO PM has been marked.
1230,Fume Hood,QC,N/A,N/A,N/A,N/A,N/A,N/A,No,Fume Hood,Use to mix solutions in Fume Hood,n/a,GMP,No,No,Yes,n/a,Mfr. recommendations and/or industry standards: Avg. velocity test: 80-150 fpm. See Accession Form for further information.,CAL-6,No,No components require PM,,FALSE,,,No,,,n/a,certification information attached to accession form
1237,100-1000 uL Pipette,PD,VWR,N/A,842761871,VWR,89079-974,N/A,Yes,100-1000 uL Pipette,To measure small amounts of liquid for development purposes,100µL to 1000µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require calibration,N/A,N/A,N/A
1238,2-20 uL Pipette,PD,VWR,N/A,842731042,VWR,89079-964,N/A,Yes,2-20 uL Pipette,To measure small amounts of liquid for development processes,2µL to 20µL,GMP,No,No,Yes,N/A,Level 4 Calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1239,0.5-10 uL Pipette,,VWR,N/A,942731043,VWR,89079-962,N/A,Yes,0.5-10 uL Pipette,To measure small amounts of liquid for development processes,0.5µL to 10µL,Other,No,No,Yes,n/a,,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 2
1240,20-200 uL Pipette,PD,VWR,N/A,842751413,VWR,89079-970,N/A,Yes,20-200 uL Pipette,To measure small amounts of liquid for development processes,20µL to 200µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require calibration,N/A,N/A,N/A
1241,Dickson Temperature/Humidity Meter,EN,Dickson,TH300,9352249,Dickson,TH300,15580,No,Dickson Temperature/Humidity Meter,Measure temperature and humidity,0 to 95% RH; -30°C to 85°C,GMP,No,No,Yes,n/a,+/- 2% RH; +/- 1°C,CAL-12,No,The meter does not require preventative maintaince,,FALSE,,,No,,,n/a,Tier 3 per EN010
1242,10-100 uL Pipette,,Biohit,N/A,7709136,N/A,N/A,,Yes,10-100 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1243,0.5-10 uL Pipette,,Biohit,N/A,7709120,N/A,N/A,,Yes,0.5-10 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1244,30-300 uL Pipette,,Biohit,N/A,7705313,N/A,N/A,,Yes,30-300 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1245,30-300 uL Multi-channel,,Biohit,N/A,7709897,N/A,N/A,,Yes,30-300 uL Multi-channel,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
