,asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,scan_file,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
806,1057,Electric Reheat Coil (RHC 1-1),TBD,N/A,N/A,N/A,N/A,N/A,N/A,No,Electric Reheat Coil (RHC 1-1),Maintain cleanroom ambient temperature,N/A,GMP,No,No,No,Reheat coils have no components/instruments which require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1046
807,1058,Fan Powered Hepa (FPH1;1),MF,N/A,N/A,N/A,N/A,N/A,N/A,No,Fan Powered Hepa (FPH1;1),Maintain cleanroom ambient temperature,N/A,GMP,No,No,No,Reheat coils have no components/instruments which require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1046
808,1059,Electric Steam Humidifier (H-2),TBD,Neptronic,SK306M,83318397,N/A,N/A,N/A,No,Electric Steam Humidifier (H-2),Maintain relative humidity >30% in cleanrooms,N/A,GMP,No,No,No,The humidifier does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1063
809,1060,Electric Humidifier (H-1),TBD,Neptronic,SK306M,83318398,N/A,N/A,N/A,No,Electric Humidifier (H-1),Maintain relative humidity >30% in cleanrooms,N/A,GMP,No,No,No,The humidifier does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1046
810,1061,Cleanroom HVAC System PRTU-3,TBD,CES,AHU-1E-118-6.6-DX-ACCU,009791-003-001,N/A,N/A,N/A,No,Cleanroom HVAC System PRTU-3,Supply air of particular cleanliness; temperature and humidity to support manufacturing functions in Purification 1 (Rm115); Purification Growing (Rm113); and Purification Air Lock (Rm114),N/A,GMP,No,No,No,The air handeling unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,09054-IOQ,sub components=1081; 1083; 1086; 1087; 1094; 1095; 1096; 1099; 1100; 1101; 1102; 1103; 1104; 1105 - Semi-annual major PM & quarterly minor PM req'd
811,1062,Cleanroom HVAC System PRTU-4,TBD,CES,AHU-1E-118-6.6-DX-ACCU,009791-003-002,N/A,N/A,N/A,No,Cleanroom HVAC System PRTU-4,Supply air of particular cleanliness; temperature; and humidity to support manufacturing functions in Purification 2 (Rm 117) and Purification 2 Growing (Rm116),N/A,GMP,No,No,No,The air handeling unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,09055-IOQ,sub components=1080; 1082;  1085; 1084; 1092; 1093; 1097; 1098 - Semi-annual major PM & quarterly minor PM req'd
812,1063,Cleanroom HVAC Sytem PRTU-2,TBD,Venmar,CS0082,SO00179401,N/A,N/A,N/A,No,Cleanroom HVAC Sytem PRTU-2,Supply air of particular cleanliness; temperature and humidity to support manufacturing functions in cell culture 1 (Rm 107) and cell culture 1 growing (Rm 106),N/A,GMP,No,No,No,The air handeling unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,09050-IOQ,sub components=1055; 1059; 1076; 1077 - Semi-annual major PM & quarterly minor PM req'd
813,1064,Exhaust Fan (PEF-1),TBD,Greenneck,6-090-D,11498727-0809,N/A,N/A,N/A,No,Exhaust Fan (PEF-1),Exhaust air,N/A,GMP,No,No,No,The exhaust fan does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1046
814,1065,Exhaust Fan (PEF-2),TBD,Greenneck,6-090-D,11498727-0810,N/A,N/A,N/A,No,Exhaust Fan (PEF-2),Exhaust air,N/A,GMP,No,No,No,The exhaust fan does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1046
815,1066,-40°C Freezer,QC,Thermo Fisher Scientific,ULT1340-9-D40,1.28E+14,VWR,14228-616,12270,No,-40°C Freezer,To monitor the stability of protein products over time and to maintain proteins at a temperature of -40°C,-35°C to -45°C,GMP,No,Yes,Yes,N/A,40C +/- 2C,CAL-6,Yes,N/A,(1)Clean compressor compartment; condenser and fan blades (2)Clean filter screen (3)remove ice build-up from sublids and breaker strips (4)check back-up alarm battery out of circuit,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,Yes,TBD,N/A,09053-IOQ,Associated with 1067
816,1078,VWR Digital Heat Block,QC,Troemner LLC,949302,90216019,VWR,12621-008,12234,No,VWR Digital Heat Block,Heating samples as required by testing SOP,5°C above ambient to 120°C,GMP,No,No,No,A calibrated thermometer will be used,N/A,N/A,No,Nist traceable or calibrated thermometer will be used,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
817,1080,Hot Water Reheat Coil (RHC4-1) associated with cleanroom HVAC system PRTU-4,TBD,N/A,N/A,N/A,N/A,N/A,N/A,No,Hot Water Reheat Coil (RHC4-1) associated with cleanroom HVAC system PRTU-4,Maintain cleanroom ambient temperature,N/A,GMP,No,No,No,The hot water reheat coil does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1062
818,1081,Hot Water Reheat Coil (RHC3-1) associated with cleanroom HVAC system PRTU-3,TBD,N/A,N/A,N/A,N/A,N/A,N/A,No,Hot Water Reheat Coil (RHC3-1) associated with cleanroom HVAC system PRTU-3,Maintain cleanroom ambient temperature,N/A,GMP,No,No,No,The hot water reheat coil does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
819,1082,Electric Steam Humidifier (H-4) Associated with Cleanroom HVAC System PRTU-4,TBD,Neptronic,8X314M,81517827,N/A,N/A,N/A,No,Electric Steam Humidifier (H-4) Associated with Cleanroom HVAC System PRTU-4,Maintain relative humidity >30% in cleanrooms,N/A,GMP,No,No,No,The electric steam humidities does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1062
820,1083,Electric Steam Humidifier (H-3) Associated with Cleanroom HVAC System PRTU-3,TBD,Neptronic,8X314M,81517828,N/A,N/A,N/A,No,Electric Steam Humidifier (H-3) Associated with Cleanroom HVAC System PRTU-3,Maintain relative humidity >30% in cleanrooms,N/A,GMP,No,No,No,The electric steam humidities does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
821,1084,Fan Powered HEPA (FPH1;4) associated with cleanroom HVAC system PRTU-4,TBD,Cleanrooms International,SAM 24,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH1;4) associated with cleanroom HVAC system PRTU-4,Increase filtered airflow to cleanroom,N/A,GMP,No,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1062
822,1085,Fan Powered HEPA (FPH1;3) associated with cleanroom HVAC system PRTU-4,TBD,Cleanrooms International,SAM 25,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH1;3) associated with cleanroom HVAC system PRTU-4,Increase filtered airflow to cleanroom,N/A,GMP,No,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1062
823,1086,Fan Powered HEPA (FPH1;2) associated with cleanroom HVAC system PRTU-3,TBD,Cleanrooms International,SAM 26,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH1;2) associated with cleanroom HVAC system PRTU-3,Increase filtered airflow to cleanroom,N/A,GMP,No,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
824,1087,Exhaust Fan (PEF-3) associated with cleanroom HVAC PRTU-3,TBD,Greenheck,G-060-D,11498726-0809,N/A,N/A,N/A,No,Exhaust Fan (PEF-3) associated with cleanroom HVAC PRTU-3,Exhaust air,N/A,GMP,No,No,No,The exhaust fan does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
825,1088,Biohit Mline Mechanical Pipette 20-200uL,BD,Biohit,80078-989,8521845,VWR,80078-989,12926,Yes,Biohit Mline Mechanical Pipette 20-200uL,Assay Development; GLP testing,See attached ,Other,No,No,Yes,N/A,20 ul = +/- 2%; 100 ul = +/- 0.8%; 200 ul = +/- 0.6%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
826,1089,Biohit Mline Mechanical Pipette 100-1000uL,BD,Biohit,80078-990,8521846,VWR,80078-989,12927,Yes,Biohit Mline Mechanical Pipette 100-1000uL,Assay Development,See attached ,Other,No,No,Yes,N/A,100 ul = +/- 1.5%; 500 ul = +/- 0.7%; 1000 ul = +/- 0.6%,CAL-13,Yes,N/A,TBD,PM-13,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
827,1090,Biohit Mline Mechanical Pipette 2-20uL,BD,Biohit,80078-991,8521847,VWR,80078-989,12926,Yes,Biohit Mline Mechanical Pipette 2-20uL,Assay Development,See attached ,Other,No,No,Yes,N/A,2 ul = +/- 3%; 10 ul = +/- 1.2%; 20 ul = +/- 0.9%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
828,1091,Biohit Mline Mechanical Pipette 0.5-10uL,BD,Biohit,80078-992,8521848,VWR,80078-989,12927,Yes,Biohit Mline Mechanical Pipette 0.5-10uL,Assay Development,See attached ,Other,No,No,Yes,N/A,0.5 ul = +/- 5%; 5 ul = +/- 1.5%; 10 ul = +/- 1%,CAL-13,Yes,N/A,TBD,PM-13,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
829,1097,Fan Powered HEPA (FPH1;5),TBD,Cleanrooms International,SAM 24,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH1;5),Increase filtered airflow to Purification 2,N/A,GMP,Yes,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1062
830,1098,Fan Powered HEPA (FPH-1;6),TBD,Cleanrooms International,SAM 25,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH-1;6),Increase filtered airflow to Purification 2,N/A,GMP,Yes,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1062
831,1099,Fan Powered HEPA (FPH-1;7),TBD,Cleanrooms International,SAM 26,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH-1;7),Increase filtered airflow to Purification 1,N/A,GMP,Yes,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
832,1100,Fan Powered HEPA (FPH-1;8),TBD,Cleanrooms International,SAM 24,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH-1;8),Increase filtered airflow to Purification 1,N/A,GMP,Yes,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
833,1101,Fan Powered HEPA (FPH-1;9),TBD,Cleanrooms International,SAM 24,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH-1;9),Increase filtered airflow to Purification 1,N/A,GMP,Yes,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
834,1102,Fan Powered HEPA (FPH-1;10),TBD,Cleanrooms International,SAM 24,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH-1;10),Increase filtered airflow to Purification 1,N/A,GMP,Yes,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
835,1103,Fan Powered HEPA (FPH-1;11),TBD,Cleanrooms International,SAM 24,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH-1;11),Increase filtered airflow to Purification 1,N/A,GMP,Yes,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
836,1104,Fan Powered HEPA (FPH-1;12),TBD,Cleanrooms International,SAM 24,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH-1;12),Increase filtered airflow to Purification 1,N/A,GMP,Yes,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
837,1105,Fan Powered HEPA (FPH-1;13),TBD,Cleanrooms International,SAM 24,N/A,N/A,N/A,N/A,No,Fan Powered HEPA (FPH-1;13),Increase filtered airflow to Purification 1,N/A,GMP,Yes,No,No,The fan powered HEPA unit does not require calibration,N/A,N/A,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Associated with 1061
838,1106,Hot Lips Tube Sealer,TBD,Wave,HOTLIPSII,0299.1007.SLR2,Wave,HTLS-II,8296,Yes,Hot Lips Tube Sealer,To seal tubing (type of tubes used: C-Flex and Gore GF Series),Tubing OD: 1/4; 7/16. 5/8; and 3/4 inches,GMP,Yes,Yes,Yes,N/A,temp: +/- 2.0°C @ 0.0°C; 75.0°C; 150.0°C & 225.0°C,CAL-6,Yes,N/A,(1) Distance check (2) Cleaning and inspection of retention pads and PTFE jaw covers,PM-6,No (Calibration/Maintenance Not Required),,Tier 2,Yes,TBD,N/A,09063-IOQ,Upon review of recent service and discussion with technician; it was observed that PM checks not documented on the sheets.
839,1107,Monitor UVIS-920,TBD,GE Healthcare,Monitor UVIS-920,1413431,GE Healthcare,11-0007-54,11366,Yes,Monitor UVIS-920,UV/Vis absorbance detection monitor for use in liquid chromatography,200nm to 700nm wavelengths,GMP,No,No,No,The moniter UViS-920 does not require calibration,N/A,N/A,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
840,1108,Monitor UVIS-920,TBD,GE Healthcare,Monitor UVIS-921,1413432,GE Healthcare,11-0007-54,11366,Yes,Monitor UVIS-920,UV/Vis absorbance detection monitor for use in liquid chromatography,200nm to 700nm wavelengths,GMP,No,No,No,The moniter UViS-920 does not require calibration,N/A,N/A,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
841,1109,Chart Recorder,PD,Kipp & Zonen,BD12E,88004,VWR,55428-692,11412,No,Chart Recorder,Used in conjunction with the UV/ViS monitor in the recording of the protein peak,0-2V,GMP,No,No,No,Do not require preventative maintenance because they are standardized to appropriate operational settings prior to use on a daily basis,N/A,N/A,No,Do not require calibration because they are standardized to appropriate operational settings prior to use on a daily basis,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
842,1110,Chart Recorder,TBD,Kipp & Zonen,BD12E,88005,VWR,55428-692,11412,No,Chart Recorder,Used in conjunction with the UV/ViS monitor in the recording of the protein peak,0-2V,GMP,No,No,No,Do not require preventative maintenance because they are standardized to appropriate operational settings prior to use on a daily basis,N/A,N/A,No,Do not require calibration because they are standardized to appropriate operational settings prior to use on a daily basis,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
843,1111,Chart Recorder,TBD,Kipp & Zonen,BD12E,88006,VWR,55428-692,11412,No,Chart Recorder,Used in conjunction with the UV/ViS monitor in the recording of the protein peak,0-2V,GMP,No,No,No,Do not require preventative maintenance because they are standardized to appropriate operational settings prior to use on a daily basis,N/A,N/A,No,Do not require calibration because they are standardized to appropriate operational settings prior to use on a daily basis,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
844,1112,Chart Recorder,TBD,Kipp & Zonen,BD12E,88007,VWR,55428-692,11412,No,Chart Recorder,Used in conjunction with the UV/ViS monitor in the recording of the protein peak,0-2V,GMP,No,No,No,Do not require preventative maintenance because they are standardized to appropriate operational settings prior to use on a daily basis,N/A,N/A,No,Do not require calibration because they are standardized to appropriate operational settings prior to use on a daily basis,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
845,1113,Conductivity Meter,TBD,Amber Sciences,1056,902004,VWR,11761,11761,Yes,Conductivity Meter,Measures conductivity of in-process samples,1.999µS to 199.9µS,GMP,No,No,Yes,N/A,718 mS +/- 10,CAL-12,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Calibration changed to annually based on manufacturer's recommendations. Currently calibrated by Alert In-house. However after discussion with mfgr; it has been decided to send these out to the mfgr who is better equipped to calibrate these units.
846,1114,Conductivity Meter,TBD,Amber Sciences,1056,902004,VWR,23198-028,11761,Yes,Conductivity Meter,Measures conductivity of in-process samples,1.999µS to 199.9µS,GMP,No,No,Yes,N/A,718 mS +/- 10,CAL-12,No,Equipment is maintained during operaation/use,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Currently calibrated by Alert In-house. However after discussion with mfgr; it has been decided to send these out to the mfgr who is better equipped to calibrate these units.
847,1115,Symphony Benchtop PH Meter,TBD,VWR,11388-354,D02572,VWR,11388-354,11761,Yes,Symphony Benchtop PH Meter,Benchtop pH meter is used to measure the pH of process buffers and product intermediates,0-14 pH,GMP,No,No,Yes,N/A,pH 4.00; 7.00; 10.00 +/- 0.05,CAL-6,No,Equipment is maintained during use per MF023,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
848,1116,Symphony Benchtop PH Meter,TBD,VWR,11388-355,D02573,VWR,11388-354,11761,Yes,Symphony Benchtop PH Meter,Benchtop pH meter is used to measure the pH of process buffers and product intermediates,0-14 pH,GMP,No,No,Yes,N/A,pH 4.00; 7.00; 10.00 +/- 0.05,CAL-6,No,Equipment is maintained during use per MF023,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
849,1117,Floor Scale,TBD,Mettler-Toledo; Inc.,2888,1164243-1BL,Mettler-Toledo; Inc.,2888P32012B11,11730,Yes,Floor Scale,Performing various weight operations within the manufacturing areas,0.5kg-1500kg,GMP,Yes,No,Yes,N/A,Eccentricity: 90.5g at 4 spots +/- 0.5kg; Linearity: 0.0+/-0.5kg; 90.5+/-0.5kg; 272.0+/-1.0kg; 544.5+/-1kg; 907.0+/- 1kg; Additional optional test: Repeatability: 6 readings +/- 0.6g;,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,In certain certificates; the technician has not mentioned cleaning; however; after discussion with the technician =; it was realized that routine cleaning is part of his procedure.
850,1118,XP Series Precision Balance Table Top,TBD,Mettler-Toledo; Inc.,XP64000L,1123033463,VWR,62410-848,11573,Yes,XP Series Precision Balance Table Top,Performing various weight operations within the manufacturing areas,1g-64100g,GMP,Yes,No,Yes,N/A,Sensitivity (Full Span): 64000g +/- 2g; Eccentricity: 20000g at 5 spots +/- 1g; Linearity: 0.6g; Additional optional test: Repeatability: 6 readings +/- 0.6g; *All specs manufacturer's recommended values.,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Previously calibrated by Alert Scientific or Bay State Scales but we now changed the vendor and have the manufacturer MT as the preferred Vendor and the current Calibration Summary is based on this change in the Vendor.
851,1125,Timer,PD,TBD,TBD,TBD,N/A,N/A,N/A,Yes,Timer,TBD,TBD,GMP,No,No,No,TBD,TBD,N/A,No,TBD,TBD,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,TBD,TBD,N/A,N/A
852,1128,Timer,PD,TBD,TBD,TBD,N/A,N/A,N/A,Yes,Timer,TBD,TBD,GMP,No,No,No,TBD,TBD,N/A,No,TBD,TBD,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,TBD,TBD,N/A,N/A
853,1129,30cm Chromatography Column,TBD,GE Healthcare,BPG300/500,8033356,GE Healthcare,18-1103-21,11366,Yes,30cm Chromatography Column,Ion exchange; gel filtration; affinity; and hydrophobid interactions chromatography with compatable Bioprocess media,N/A,GMP,No,No,No,Does not require scheduled caibration,N/A,N/A,No,During changeover all parts are checked,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,No,N/A,TBD,N/A,N/A
854,1130,30cm Chromatography Column,TBD,GE Healthcare,BPG300/501,8033357,GE Healthcare,18-1103-21,11366,Yes,30cm Chromatography Column,Ion exchange; gel filtration; affinity; and hydrophobid interactions chromatography with compatable Bioprocess media,N/A,GMP,No,No,No,Does not require scheduled caibration,N/A,N/A,No,During changeover all parts are checked,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 1,No,N/A,TBD,N/A,N/A
855,1131,SB Series Top Loading High Capacity Balance,TBD,Mettler-Toledo; Inc.,SB32000,1129513688,VWR,11276-594,11573,Yes,SB Series Top Loading High Capacity Balance,Performing various weight operations within the manufacturing areas,1g-32100g,GMP,No,No,Yes,N/A,Sensitivity (Full Span): 30000g +/- 1g; Eccentricity: 10000g at 5 spots +/- 1g; Linearity: 1g; Additional optional test: Repeatability: 6 readings +/- 0.5g; *All specs manufacturer's recommended values.,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Previously calibrated by Alert Scientific or Bay State Scales but we now changed the vendor and have the manufacturer MT as the preferred Vendor and the current Calibration Summary is based on this change in the Vendor.
856,1132,0-5 Bar Pressure Monometer,TBD,Nishino,18 1031 08,8B-00215,GE Healthcare,18 1031 08,11366,Yes,0-5 Bar Pressure Monometer,To ensure the column tube does not get over pressurized during column operations,0-5 Bar,GMP,No,No,Yes,N/A,Pressure: 0.0; 3.0; 5.0 +/- 0.2 bar,CAL-6,No,No PM required for pressure gauges,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
857,1133,0-5 Bar Pressure Monometer,TBD,Nishino,19 1031 08,8B-00216,GE Healthcare,18 1031 08,1133,Yes,0-5 Bar Pressure Monometer,To ensure the column tube does not get over pressurized during column operations,0-5 Bar,GMP,No,No,Yes,N/A,Pressure: 0.0; 3.0; 5.0 +/- 0.2 bar,CAL-6,No,No PM required for pressure gauges,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
858,1134,UV Cell 8 MM Peek,TBD,GE Healthcare,3010771,2969,GE Healthcare,11-0035-32,11366,No,UV Cell 8 MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,N/A,GMP,No,No,No,Does not require scheduled caibration,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
859,1135,UV Cell 8MM Peek,TBD,GE Healthcare,3010771,2969,GE Healthcare,11-0035-32,11366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,N/A,GMP,No,No,No,Does not require scheduled caibration,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
860,1146,BSC 6ft,TBD,Labconco,3460009,081195856B,VWR,97000-866,11573,No,BSC 6ft,Final filtration steps performed in BSC,N/A,GMP,No,No,Yes,N/A,(1) HEPA supply velocity: overall avg acceptance range 50-60 fpm (2) Inflow velocity: 100-110 fpm,CAL-6,Yes,N/A,(1) HEPA filter leak test (2) Airflow alarm tests (3) UV intensity test (4) Sash alarm tests,PM-6,No (Calibration/Maintenance Not Required),,Tier 1,No,N/A,TBD,N/A,CAL and PM together constiture the 'Certification' process.
861,1147,BSC 6ft,TBD,Labconco,3460009,080891957B,VWR,97000-866,11573,No,BSC 6ft,Final filtration steps performed in BSC,N/A,GMP,No,No,Yes,N/A,(1) HEPA supply velocity: overall avg acceptance range 50-60 fpm (2) Inflow velocity: 100-110 fpm,CAL-6,Yes,N/A,Perform HEPA filter leak test as well as check gaskets and seals.,PM-6,No (Calibration/Maintenance Not Required),,Tier 1,No,N/A,TBD,N/A,CAL and PM together constiture the 'Certification' process.
862,1150,12-Channel Pipette 30-300 ul,BD,Biohit,725240,9027756,VWR,47745-564,13142,Yes,12-Channel Pipette 30-300 ul,Develop; qualify; and validate assays Sample Analysis,30µl to 300µl,Other,No,No,Yes,N/A,30 ul = +/- 2%; 300 ul = +/- 0.6%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
863,1151,12- Channel Pipette 5-100 ul,BD,Biohit,725240,9027756,N/A,N/A,13143,Yes,12- Channel Pipette 5-100 ul,Develop; qualify; and validate assays; Sample Analysis,5µl to 100µl,Other,No,No,Yes,N/A,10 ul = +/- 3%; 100 ul = +/- 0.7%,CAL-13,Yes,N/A,TBD,PM-13,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
864,1152,Pipette 100-1000 ul,BD,Biohit,725240,9027756,VWR,47745-550,13144,Yes,Pipette 100-1000 ul,Develop; qualify; and validate assays; Sample Analysis,100µl to 1000µl,Other,No,No,Yes,N/A,100 ul = +/- 1.5%; 500 ul = +/- 0.7%; 1000 ul = +/- 0.6%,CAL-14,Yes,N/A,TBD,PM-14,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
